,Image,Acc,F1,Jaccard,Recall,Precision
72,13_test_0,0.9461212158203125,0.5590384014985952,0.3879620401265329,0.9127332042002243,0.40290715989379416
73,13_test_1,0.9473876953125,0.5639031176879783,0.39266370161609937,0.9082297820330006,0.4088866471019809
74,13_test_2,0.9457359313964844,0.5565358356454781,0.38555569953781693,0.9099806300336426,0.40084426082270525
75,13_test_3,0.9435157775878906,0.5293837205606585,0.35997406526907283,0.8211398146322224,0.39060081609680597
76,13_test_4,0.947662353515625,0.5410757291945409,0.37087307410124726,0.8872312417727073,0.38922040423484117
77,13_test_5,0.9410171508789062,0.5587076887950226,0.38764356435643565,0.8916826090917372,0.40679938489672085
78,14_test_0,0.9457969665527344,0.5126059067677426,0.3446335501130022,0.934817965720005,0.3531190926275992
79,14_test_1,0.9462432861328125,0.513767165827065,0.3456841714259182,0.9309741152932349,0.3547772218251132
80,14_test_2,0.9463920593261719,0.5155975319706319,0.347343488760914,0.9356937320155135,0.3558378532686269
81,14_test_3,0.943145751953125,0.4609375,0.29949238578680204,0.8553020134228188,0.315476779879196
82,14_test_4,0.9456100463867188,0.5143732970027248,0.3462332064743913,0.9129488574537541,0.3580539617810233
83,14_test_5,0.9264564514160156,0.4943478374904923,0.32832804933282234,0.6830965497245578,0.38732481196827095
84,15_test_0,0.9553146362304688,0.5182199555811466,0.3497279893416232,0.9028374892519346,0.36340562990309183
85,15_test_1,0.9551239013671875,0.5145262462859029,0.3463718190910101,0.8936353211009175,0.36126564673157163
86,15_test_2,0.9538040161132812,0.5091601815823605,0.34152574628894566,0.9001146460303812,0.3549790889567085
87,15_test_3,0.9531822204589844,0.45859985001543957,0.29752160723484633,0.8343499197431782,0.3161992821947807
88,15_test_4,0.9573860168457031,0.49114016307566155,0.3255041661635068,0.8709208400646203,0.34200342574383047
89,15_test_5,0.9528160095214844,0.4436648225610579,0.28507022715449976,0.9128262076624097,0.293048128342246
90,16_test_0,0.9449691772460938,0.5304342165223618,0.36094622131655885,0.8935190262090141,0.37716983752256633
91,16_test_1,0.944976806640625,0.5301322561730406,0.3606666371171491,0.8912376779846659,0.377271884272997
92,16_test_2,0.9445266723632812,0.5284695201037614,0.3591291701555683,0.8936286873560697,0.3751668891855808
93,16_test_3,0.9429702758789062,0.48119100499722384,0.31682127679020244,0.8083245890171389,0.34255645041751076
94,16_test_4,0.9434700012207031,0.5161142857142856,0.34781269254467034,0.8544707535949833,0.3697136976047904
95,16_test_5,0.9395332336425781,0.5286788974458089,0.3593225819489915,0.8726808677726514,0.37920150145026443
96,17_test_0,0.9517364501953125,0.5308513794126372,0.3613326602725896,0.8269408502772643,0.39089121887287026
97,17_test_1,0.95294189453125,0.5329395729213993,0.3632703623412821,0.8131715771230502,0.3963507349214394
98,17_test_2,0.951019287109375,0.5217520858164482,0.352953033662568,0.8091497227356746,0.3850043975373791
99,17_test_3,0.9517288208007812,0.48889247919864276,0.32353255639901635,0.7633703329969728,0.3595959595959596
100,17_test_4,0.9482460021972656,0.5230780047105142,0.3541676583995811,0.7800377437617949,0.3934634301126448
101,17_test_5,0.9587554931640625,0.4847502859321388,0.3199144546483834,0.8069173409487546,0.34643416660990395
102,18_test_0,0.943634033203125,0.5010131027961637,0.3342344777867892,0.9156894210591285,0.34484682255590166
103,18_test_1,0.9446144104003906,0.5026547460007535,0.33569729136163984,0.9044625246548323,0.3480385180968645
104,18_test_2,0.9430999755859375,0.49672717457318305,0.3304304888449971,0.9086532526848538,0.3417839067651019
105,18_test_3,0.9426765441894531,0.455326398202182,0.2947719166510231,0.8432004295878641,0.3118669314796425
106,18_test_4,0.9410591125488281,0.49875101378751013,0.33222404702221453,0.8831571691176471,0.34749785271913564
107,18_test_5,0.9395713806152344,0.38617429379625684,0.2392912024587015,0.8842945874001774,0.24702558001189767
108,19_test_0,0.9392662048339844,0.4873619473870625,0.322193367108008,0.9536290322580645,0.3273214826348341
109,19_test_1,0.938873291015625,0.48584996470512737,0.32087306632761176,0.954127284183995,0.3259007360854031
110,19_test_2,0.9382247924804688,0.483313126156595,0.31866374957926624,0.9543850806451613,0.3235922413056481
111,19_test_3,0.9358596801757812,0.4525266996613701,0.292429407061398,0.900362788287121,0.30220927198399583
112,19_test_4,0.9364891052246094,0.5095301222565916,0.3418587184251097,0.9447236180904522,0.3488362712274616
113,19_test_5,0.9345588684082031,0.38593979310591686,0.23911115053668056,0.9390350113220693,0.24288160028834024
114,20_test_0,0.9444732666015625,0.4761390628374001,0.3124557177270795,0.9172212978369384,0.3215223097112861
115,20_test_1,0.9448509216308594,0.4780301115644293,0.31408644493998195,0.91842397336293,0.32310020010737467
116,20_test_2,0.9445152282714844,0.47466319933542817,0.31118583064974426,0.9109940385415223,0.3209436358308098
117,20_test_3,0.9422416687011719,0.4326876241148038,0.2760698063590724,0.8523767345733687,0.28993221190057744
118,20_test_4,0.94580078125,0.471782288645996,0.30871405634213983,0.8944178178742599,0.3203898202383357
119,20_test_5,0.9001731872558594,0.5370530896739611,0.3671036083970204,0.6211736781797348,0.4729986600604531
